McDonald's Overview,"McDonald’s is proud to be one of the most recognized brands in the world, with restaurants in over 100 countries and billions of customers served each year.  As the global leader in the food service industry, we have a legacy of innovation and hard work that continues to drive ... Read more","Chicago, IL",10000+ Employees,1955,Company - Public (MCD),$10+ billion (USD),Restaurants & Cafes,3.5,"Starbucks, Target, Walmart",Management was great and the pay was fair. Also we got free meals and drinks.,None that I can think of.
Amazon Overview,"All Amazon teams and businesses, from Prime delivery to AWS, are guided by four key tenets: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.  

We are driven by the excitement of building ... Read more","Seattle, WA",10000+ Employees,1994,Company - Public (AMZN),$10+ billion (USD),Internet & Web Services,3.8,"Google, Microsoft, Walmart",Opportunity to work with really smart people and on very challenging projects.,Not a lot of opportunities to get promoted.
Amazon Overview,"All Amazon teams and businesses, from Prime delivery to AWS, are guided by four key tenets: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.  

We are driven by the excitement of building ... Read more","Seattle, WA",10000+ Employees,1994,Company - Public (AMZN),$10+ billion (USD),Internet & Web Services,3.8,"Google, Microsoft, Walmart",best company to work for good benefits,it has good work atmosphere and not any bad experience for me
